ID,Timestamp,ax,ay,az,gx,gy,gz,Label,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads
442,442130,256,16080.0,-2336.0,137.0,39.0,-84.0,kepala_belakang,0.15322890625,9.624690673828125,-1.39821376953125,0.018252679963604822,0.005196018383799912,-0.011191424211261349
443,443132,280,16256.0,-2528.0,-32.0,9.0,-205.0,kepala_belakang,0.16759411621093748,9.730035546875,-1.5131354492187499,-0.004263399699528133,0.0011990811654922875,-0.027312404325102103
444,444135,64,16080.0,-2444.0,64.0,92.0,-126.0,kepala_belakang,0.0383072265625,9.624690673828125,-1.4628572143554686,0.008526799399056265,0.012257274136143382,-0.016787136316892024
445,445137,256,16272.0,-2924.0,-69.0,206.0,-216.0,kepala_belakang,0.15322890625,9.739612353515625,-1.7501614135742187,-0.009192955602107537,0.02744563556571236,-0.0287779479718149
446,446139,332,15840.0,-3612.0,92.0,-39.0,-92.0,kepala_belakang,0.19871873779296872,9.481038574218749,-2.1619640991210938,0.012257274136143382,-0.005196018383799912,-0.012257274136143382
447,447142,248,16136.0,-3816.0,-8.0,39.0,-91.0,kepala_belakang,0.1484405029296875,9.658209497070311,-2.2840683837890623,-0.0010658499248820332,0.005196018383799912,-0.01212404289553313
448,448144,-6156,13184.0,-3296.0,7794.0,-13036.0,-18790.0,kepala_belakang,-3.6846763549804686,7.8912886718749995,-1.9728221679687499,1.038404289316321,-1.7368024525952734,-2.503415011066676
470,470196,2264,-584.0,15220.0,-713.0,-738.0,-261.0,meja,1.3551181396484375,-0.3495534423828125,9.10993731689453,-0.09499387455511121,-0.09832465557036758,-0.03477335379927634
471,471199,2336,-904.0,15192.0,-208.0,266.0,-130.0,meja,1.39821376953125,-0.5410895751953124,9.093177905273437,-0.027712098046932865,0.03543951000232761,-0.01732006127933304
472,472201,2644,-852.0,15196.0,-116.0,154.0,-133.0,meja,1.5825672973632812,-0.5099649536132812,9.095572106933593,-0.015454823910789483,0.020517611053979142,-0.017719755001163805
473,473203,748,-536.0,14760.0,925.0,4664.0,1527.0,meja,0.4477157104492187,-0.32082302246093747,8.834604125976561,0.1232388975644851,0.6213905062062254,0.2034441044118581
474,474206,1932,-1084.0,15468.0,312.0,-1383.0,-444.0,meja,1.1563994018554686,-0.6488286499023437,9.258377819824219,0.0415681470703993,-0.1842588057639815,-0.05915467083095285
475,475208,2072,-1056.0,15280.0,-209.0,77.0,-91.0,meja,1.2401964599609374,-0.63206923828125,9.145850341796875,-0.027845329287543123,0.010258805526989571,-0.01212404289553313
476,476210,2128,-1604.0,15320.0,-91.0,46.0,-153.0,meja,1.2737152832031249,-0.9600748657226562,9.169792358398437,-0.01212404289553313,0.006128637068071691,-0.020384379813368887
477,477213,2380,-1388.0,15124.0,122.0,-12.0,-135.0,meja,1.4245499877929686,-0.8307879760742187,9.052476477050782,0.016254211354451008,-0.00159877488732305,-0.017986217482384312
478,478215,2408,-1196.0,15220.0,-143.0,184.0,-139.0,meja,1.4413093994140624,-0.7158662963867187,9.10993731689453,-0.019052067407266345,0.024514548272286763,-0.01851914244482533
479,479218,2428,-2352.0,15056.0,-476.0,159.0,-309.0,meja,1.4532804077148436,-1.407790576171875,9.011775048828124,-0.06341807053048099,0.02118376725703041,-0.041168453348568536
480,480220,2444,-1308.0,15220.0,-60.0,84.0,-151.0,meja,1.4628572143554686,-0.7829039428710937,9.10993731689453,-0.007993874436615249,0.011191424211261349,-0.02011791733214838
481,481222,2244,-984.0,15240.0,136.0,24.0,-95.0,meja,1.3431471313476562,-0.5889736083984375,9.121908325195312,0.018119448722994567,0.0031975497746461,-0.012656967857974145
482,482225,8792,-2652.0,15292.0,-1615.0,2890.0,-864.0,meja,5.2624552490234375,-1.5873557006835937,9.153032946777342,-0.21516845358556047,0.38503828536363455,-0.1151117918872596
494,494253,-8492,-13236.0,-5172.0,1695.0,810.0,-602.0,mulut,-5.082890124511718,-7.922413293457031,-3.095702746582031,0.2258269528343808,0.10791730489430588,-0.080205206847373
495,495256,-8464,-13824.0,-4948.0,-184.0,528.0,-157.0,mulut,-5.066130712890625,-8.2743609375,-2.961627453613281,-0.024514548272286763,0.07034609504221419,-0.020917304775809907
496,496258,-8312,-13756.0,-4660.0,193.0,513.0,-246.0,mulut,-4.975151049804687,-8.233659509277343,-2.789244934082031,0.02571362943777905,0.06834762643306039,-0.032774885190122525
